state,IT Services,Healthcare & Lifesciences,Construction,Agriculture,Food & Beverages,Education,Professional & Commercial Services,Technology Hardware,AI,Renewable Energy,Finance Technology,Human Resources,Automotive,Textiles & Apparel,Fashion,cluster,cluster_name
Jharkhand,0.1013215859030837,0.06255506607929516,0.11806167400881057,0.0722466960352423,0.05638766519823789,0.044933920704845816,0.05462555066079295,0.027312775330396475,0.03171806167400881,0.03788546255506608,0.014977973568281937,0.03524229074889868,0.024669603524229075,0.02290748898678414,0.009691629955947136,0,C0: Broad mix (close to the national average)
Karnataka,0.1373150990789841,0.08261233603125873,0.04046888082612336,0.04316680621453158,0.05870313517536515,0.056098241696902036,0.03618941296864825,0.03674760442831891,0.062238347753279376,0.01981579681830868,0.036096381058703136,0.018792445808912456,0.020187924458089125,0.014512977951437344,0.018699413898967347,3,C3: IT Services + AI-heavy
Kerala,0.1397129186602871,0.09066985645933015,0.050239234449760764,0.03708133971291866,0.06267942583732057,0.08779904306220096,0.03660287081339713,0.03014354066985646,0.03684210526315789,0.02200956937799043,0.02033492822966507,0.013875598086124402,0.017464114832535887,0.011961722488038277,0.01555023923444976,3,C3: IT Services + AI-heavy
Madhya Pradesh,0.1005973715651135,0.08195937873357229,0.08434886499402629,0.08530465949820788,0.06284348864994026,0.03775388291517324,0.04970131421744325,0.024611708482676225,0.022939068100358423,0.044444444444444446,0.024850657108721624,0.05304659498207885,0.017921146953405017,0.01863799283154122,0.016487455197132617,0,C0: Broad mix (close to the national average)
Maharashtra,0.09179876650186045,0.09735460522962434,0.05586421326265355,0.07339823640348642,0.06544676079310872,0.040470972016922374,0.04811662164228554,0.03455833630664152,0.02711657067128804,0.0335389163565931,0.034609307304143945,0.020184515010958765,0.0246189917936694,0.017941791120852237,0.02176461593353382,0,C0: Broad mix (close to the national average)
Odisha,0.12078510317060896,0.08857574232511324,0.07045797684952189,0.07297433316557625,0.06240563663814796,0.0463009562154001,0.043784599899345744,0.025163563160543533,0.027176648213387014,0.034222445898339206,0.01660795168595873,0.02365374937091092,0.018621036738802214,0.02264720684448918,0.01660795168595873,0,C0: Broad mix (close to the national average)
Punjab,0.10954063604240283,0.09187279151943463,0.058657243816254416,0.0685512367491166,0.06289752650176679,0.0558303886925795,0.038869257950530034,0.029681978798586573,0.026148409893992933,0.03745583038869258,0.019081272084805655,0.02120141342756184,0.03180212014134275,0.03109540636042403,0.02402826855123675,0,C0: Broad mix (close to the national average)
Rajasthan,0.09857019064124783,0.07755632582322357,0.06997400346620451,0.06802426343154246,0.05979202772963605,0.05740901213171577,0.04852686308492201,0.02274696707105719,0.02772963604852686,0.049393414211438474,0.036395147313691506,0.014948006932409013,0.015164644714038129,0.02577989601386482,0.03466204506065858,0,C0: Broad mix (close to the national average)
Tamil Nadu,0.1292517006802721,0.08324685806526,0.04946385333794535,0.06722010838233598,0.05868788193243399,0.04911795226565202,0.041969330104923326,0.035743110803643494,0.03689611437795457,0.036550213305661244,0.02651908220915485,0.01349014181943964,0.030093393289519196,0.023405972558514933,0.015104346823475152,0,C0: Broad mix (close to the national average)
Telangana,0.15574619139180595,0.10575358674752255,0.043632598727998816,0.05221121135926638,0.05295074693092738,0.05664842478923236,0.03520189321106345,0.029729329980772073,0.051767490016269783,0.025292116550806095,0.022925602721490905,0.01686141103387073,0.01641768969087413,0.011240940689247152,0.015973968347877534,3,C3: IT Services + AI-heavy
Uttar Pradesh,0.1071132482175427,0.08845962526944122,0.09268777980434423,0.051401094345879625,0.056955728734869836,0.05720444370751119,0.05720444370751119,0.03399104626098491,0.02802188691759244,0.031835516498093186,0.023462112419167635,0.038136295805007464,0.0164151881943293,0.02329630243740673,0.020477532747471397,0,C0: Broad mix (close to the national average)
Uttarakhand,0.08664627930682976,0.1111111111111111,0.07339449541284404,0.0672782874617737,0.0672782874617737,0.05606523955147808,0.04383282364933741,0.022426095820591234,0.03058103975535168,0.03363914373088685,0.017329255861365953,0.023445463812436288,0.020387359836901122,0.019367991845056064,0.0163098878695209,0,C0: Broad mix (close to the national average)
West Bengal,0.09703989703989704,0.0918918918918919,0.06460746460746461,0.0676962676962677,0.06589446589446589,0.051222651222651225,0.05842985842985843,0.02651222651222651,0.021364221364221364,0.02676962676962677,0.036808236808236805,0.01287001287001287,0.016473616473616472,0.029086229086229085,0.027541827541827543,0,C0: Broad mix (close to the national average)
