state,industry,recent_3yr,count_2023,count_2025,growth_2023_2025_pct,lq,scale_pct,momentum_pct,specialisation_pct,hotspot_score
Uttar Pradesh,Textiles & Apparel,281,83,119,19.74,1.09,83.04,51.93,59.97,64.97999999999999
Uttar Pradesh,Security Solutions,145,43,67,24.83,1.12,65.19,64.79,64.79,64.92333333333333
Gujarat,Logistics,93,20,49,56.52,1.03,50.16,91.48,52.73,64.78999999999999
Jharkhand,Agriculture,82,18,32,33.33,1.18,45.02,77.09,72.03,64.71333333333334
Uttarakhand,Construction,72,13,35,64.08,1.08,40.59,94.21,59.32,64.70666666666666
Uttarakhand,Healthcare & Lifesciences,109,30,46,23.83,1.22,56.35,61.09,76.53,64.65666666666667
Tamil Nadu,IT Services,1121,391,411,2.53,1.21,99.04,18.65,75.72,64.47
Karnataka,Retail,246,81,112,17.59,1.13,80.39,46.14,66.88,64.47
Rajasthan,Travel & Tourism,89,21,49,52.75,1.05,47.91,89.95,55.47,64.44333333333333
West Bengal,Fashion,107,31,46,21.81,1.29,55.71,57.07,80.55,64.44333333333333
Gujarat,Automotive,297,92,115,11.8,1.21,84.41,33.12,75.56,64.36333333333333
Tamil Nadu,Logistics,97,27,39,20.19,1.4,51.37,53.7,87.62,64.22999999999999
Jammu and Kashmir,Agriculture,75,20,32,26.49,1.31,42.12,67.93,82.48,64.17666666666668
Maharashtra,Robotics,87,16,42,62.02,1.02,46.78,93.25,52.09,64.03999999999999
Maharashtra,Technology Hardware,678,208,280,16.02,1.04,95.66,42.04,54.02,63.90666666666666
Karnataka,Healthcare & Lifesciences,888,258,386,22.32,0.91,97.43,57.88,36.17,63.82666666666666
Haryana,Pets & Animals,36,9,18,41.42,2.04,9.57,83.68,97.91,63.72
Karnataka,Travel & Tourism,189,46,81,32.7,0.95,72.91,75.56,42.6,63.69
Karnataka,Events,61,13,33,59.33,1.13,32.72,92.36,65.92,63.66666666666666
Odisha,IT Services,240,77,105,16.77,1.13,79.74,44.05,67.2,63.66333333333333
Maharashtra,Fashion,427,122,170,18.04,1.02,91.48,47.27,51.93,63.56
Haryana,Fashion,133,33,56,30.27,1.04,62.86,72.35,54.5,63.23666666666666
Chhattisgarh,Renewable Energy,53,13,26,41.42,1.25,27.01,83.68,78.14,62.943333333333335
Maharashtra,Chemicals,319,109,114,2.27,1.36,85.37,18.01,85.05,62.81
Haryana,Education,303,87,125,19.87,1.02,84.73,52.25,51.45,62.809999999999995
Assam,Agriculture,119,34,44,13.76,1.57,59.57,36.58,91.96,62.703333333333326
Maharashtra,Retail,341,86,146,30.29,0.86,86.66,72.51,27.97,62.379999999999995
Haryana,Architecture Interior Design,53,11,24,47.71,1.18,27.01,87.14,72.99,62.379999999999995
Rajasthan,IT Services,455,132,195,21.54,0.93,91.96,56.91,38.26,62.37666666666666
Telangana,Technology Hardware,201,54,99,35.4,0.89,73.95,78.94,34.08,62.32333333333333
Maharashtra,Architecture Interior Design,167,48,68,19.02,1.14,69.29,50.08,67.52,62.29666666666667
Punjab,Healthcare & Lifesciences,130,34,59,31.73,1.01,62.14,74.6,50.0,62.24666666666666
Maharashtra,Green Technology,387,125,163,14.19,1.07,90.03,38.59,58.04,62.22
Karnataka,Biotechnology,88,28,40,19.52,1.44,47.35,51.05,88.26,62.22
West Bengal,Professional & Commercial Services,227,65,83,13.0,1.19,77.97,35.05,73.47,62.16333333333333
Kerala,Retail,104,31,45,20.48,1.23,54.66,54.5,77.17,62.11
Rajasthan,Transportation & Storage,67,17,30,32.84,1.18,37.54,75.72,72.67,61.97666666666666
Maharashtra,Transportation & Storage,292,96,111,7.53,1.21,83.84,26.61,75.4,61.949999999999996
Madhya Pradesh,Real Estate,63,14,26,36.28,1.17,34.41,80.14,71.22,61.92333333333333
Telangana,AR VR (Augmented + Virtual Reality),31,5,13,61.25,1.49,2.33,93.09,90.19,61.870000000000005
Haryana,Travel & Tourism,109,26,50,38.68,0.99,56.35,82.23,46.62,61.73333333333333
Assam,Healthcare & Lifesciences,132,40,57,19.37,1.17,62.62,50.8,71.7,61.706666666666656
Uttar Pradesh,Technology Hardware,410,124,167,16.05,1.02,90.84,42.28,51.77,61.63
Haryana,Aeronautics Aerospace & Defence,79,20,35,32.29,1.12,44.29,75.32,65.27,61.62666666666665
Uttarakhand,Food & Beverages,66,17,34,41.42,1.12,36.82,83.68,64.31,61.60333333333334
Maharashtra,IT Services,1801,520,767,21.45,0.86,99.84,56.27,28.62,61.57666666666667
Delhi,Healthcare & Lifesciences,998,340,366,3.75,1.11,98.07,22.03,63.99,61.36333333333333
West Bengal,Retail,99,32,46,19.9,1.26,52.17,52.49,79.26,61.30666666666667
Punjab,Textiles & Apparel,44,9,16,33.33,1.45,18.01,77.09,88.75,61.28333333333333
Delhi,Fashion,278,93,95,1.07,1.32,82.8,17.04,83.44,61.093333333333334
Tamil Nadu,Robotics,69,20,28,18.32,1.83,38.83,48.55,95.82,61.06666666666666
Rajasthan,Construction,323,94,128,16.69,1.03,85.85,43.73,53.05,60.87666666666666
Maharashtra,Analytics,82,22,40,34.84,1.07,45.02,78.46,58.52,60.666666666666664
West Bengal,Transportation & Storage,63,18,28,24.72,1.32,34.41,63.99,83.28,60.559999999999995
Tamil Nadu,Aeronautics Aerospace & Defence,137,45,57,12.55,1.34,63.26,34.0,84.41,60.556666666666665
Maharashtra,Waste Management,223,66,102,24.32,0.95,77.49,62.14,41.96,60.529999999999994
West Bengal,Healthcare & Lifesciences,357,110,149,16.38,1.01,87.94,43.09,50.16,60.39666666666666
Rajasthan,AI,128,30,73,55.99,0.86,61.25,91.0,28.78,60.343333333333334
Madhya Pradesh,Human Resources,222,87,68,-11.59,2.26,77.09,5.31,98.55,60.31666666666666
Tamil Nadu,Renewable Energy,317,100,116,7.7,1.14,85.21,27.01,68.65,60.29
Bihar,Real Estate,49,13,24,35.87,1.26,22.19,79.58,78.94,60.236666666666665
Haryana,Real Estate,94,29,42,20.34,1.22,50.4,54.1,76.21,60.23666666666666
Telangana,Renewable Energy,171,34,83,56.24,0.79,70.66,91.16,18.65,60.156666666666666
Maharashtra,House-Hold Services,160,46,70,23.36,1.02,68.49,60.21,51.61,60.10333333333333
Kerala,Enterprise Software,101,36,45,11.8,1.67,52.97,33.12,93.73,59.94
Telangana,Biotechnology,59,19,28,21.4,1.53,31.75,56.03,91.48,59.75333333333333
Madhya Pradesh,Professional & Commercial Services,208,59,85,20.03,1.01,75.4,53.05,50.48,59.64333333333333
Rajasthan,Fashion,160,58,59,0.86,1.62,68.49,16.88,92.93,59.43333333333333
Gujarat,Food & Beverages,627,186,257,17.55,0.92,95.02,45.98,37.14,59.379999999999995
Telangana,Agriculture,353,106,165,24.76,0.85,87.54,64.63,25.88,59.349999999999994
Karnataka,Marketing,157,40,67,29.42,0.93,67.77,71.7,38.42,59.29666666666666
West Bengal,IT Services,377,113,162,19.73,0.91,89.23,51.77,36.66,59.22
Haryana,Logistics,54,12,23,38.44,1.13,28.05,81.75,67.04,58.94666666666667
Delhi,Technology Hardware,333,102,134,14.62,1.01,86.17,39.71,50.96,58.946666666666665
Maharashtra,Textiles & Apparel,352,98,154,25.36,0.84,87.3,65.76,23.63,58.89666666666666
Karnataka,Toys and Games,65,19,27,19.21,1.48,36.09,50.56,90.03,58.89333333333333
West Bengal,Construction,251,72,104,20.19,0.95,80.87,53.7,41.8,58.79
Delhi,Telecommunication & Networking,109,35,41,8.23,1.52,56.35,28.46,91.32,58.709999999999994
Madhya Pradesh,Healthcare & Lifesciences,343,97,140,20.14,0.9,86.82,53.38,35.21,58.47
West Bengal,Food & Beverages,256,80,100,11.8,1.09,81.03,33.12,61.25,58.46666666666666
Gujarat,AI,203,27,138,126.08,0.56,74.68,99.2,1.45,58.44333333333333
Tamil Nadu,Automotive,261,100,83,-8.9,1.4,81.51,6.27,87.46,58.41333333333333
Gujarat,Toys and Games,53,13,24,35.87,1.14,27.01,79.58,68.49,58.36
Maharashtra,Events,99,25,43,31.15,1.0,52.17,73.63,49.2,58.33333333333333
Bihar,IT Services,225,54,121,49.69,0.7,77.81,88.26,8.84,58.303333333333335
Kerala,Biotechnology,35,9,16,33.33,1.47,8.04,77.09,89.55,58.22666666666666
Haryana,Advertising,56,15,24,26.49,1.22,29.5,67.93,76.85,58.093333333333334
Odisha,Agriculture,145,50,64,13.14,1.19,65.19,35.37,73.63,58.063333333333325
Punjab,IT Services,155,45,65,20.19,1.03,67.12,53.7,53.22,58.013333333333335
Punjab,Food & Beverages,89,24,40,29.1,1.04,47.91,70.74,55.31,57.986666666666665
Maharashtra,Design,144,49,52,3.02,1.46,64.79,19.61,89.07,57.82333333333333
Haryana,IT Services,586,188,251,15.55,0.92,94.05,41.64,37.46,57.71666666666666
Telangana,Architecture Interior Design,55,14,28,41.42,1.09,28.86,83.68,60.45,57.663333333333334
Gujarat,Finance Technology,284,78,113,20.36,0.89,83.44,54.34,34.73,57.50333333333333
Maharashtra,Professional & Commercial Services,944,299,352,8.5,0.98,97.91,28.78,45.82,57.50333333333333
West Bengal,Agriculture,263,78,91,8.01,1.1,81.91,27.73,62.86,57.5
Haryana,Automotive,185,70,66,-2.9,1.43,72.19,12.22,87.94,57.45
Delhi,Logistics,99,28,37,14.95,1.26,52.17,40.51,79.42,57.36666666666666
Rajasthan,Agriculture,314,102,113,5.25,1.11,85.05,23.47,63.5,57.339999999999996
Madhya Pradesh,IT Services,421,132,173,14.48,0.94,91.16,39.55,41.16,57.28999999999999
Uttar Pradesh,Advertising,111,35,46,14.64,1.2,57.15,39.87,74.76,57.26
West Bengal,Education,199,62,85,17.09,1.03,73.63,44.69,53.38,57.233333333333334
Maharashtra,Travel & Tourism,296,82,128,24.94,0.82,84.24,65.11,22.19,57.18
Uttarakhand,Education,55,13,23,33.01,1.13,28.86,76.13,66.24,57.07666666666666
Delhi,House-Hold Services,103,32,41,13.19,1.31,54.02,35.53,81.67,57.07333333333334
Maharashtra,Marketing,348,120,125,2.06,1.13,86.98,17.68,66.56,57.07333333333333
Haryana,Professional & Commercial Services,286,79,107,16.38,0.97,83.6,42.93,44.69,57.07333333333332
West Bengal,Social Impact,34,10,20,41.42,1.29,6.43,83.68,80.87,56.99333333333334
Odisha,Healthcare & Lifesciences,176,50,73,20.83,0.97,70.9,54.98,45.02,56.96666666666666
Tamil Nadu,Finance Technology,230,62,88,19.14,0.95,78.46,50.32,42.12,56.96666666666666
Jharkhand,Human Resources,40,12,19,25.83,1.5,13.67,66.48,90.68,56.943333333333335
Haryana,Security Solutions,66,17,32,37.2,1.03,36.82,80.87,52.89,56.86
Maharashtra,Safety,58,16,25,25.0,1.2,31.11,65.27,74.12,56.83333333333333
Chhattisgarh,Agriculture,153,50,43,-7.26,1.88,66.16,7.4,96.62,56.72666666666666
Punjab,Agriculture,97,29,42,20.34,1.12,51.37,54.1,64.47,56.64666666666666
Tamil Nadu,Technology Hardware,310,95,108,6.62,1.07,84.89,25.56,59.16,56.53666666666666
Tamil Nadu,Agriculture,583,206,203,-0.73,1.1,93.73,13.99,61.58,56.43333333333333
Haryana,Green Technology,120,37,52,18.55,1.08,59.89,49.28,59.81,56.32666666666667
Karnataka,Social Network,59,16,22,17.26,1.58,31.75,45.1,92.12,56.32333333333334
Andhra Pradesh,Other Specialty Retailers,35,5,21,104.94,1.11,8.04,97.91,63.02,56.32333333333333
Haryana,House-Hold Services,73,24,31,13.65,1.52,41.32,36.25,91.16,56.243333333333325
Telangana,Robotics,38,12,21,32.29,1.29,11.82,75.32,81.03,56.05666666666666
Rajasthan,Food & Beverages,276,93,121,14.06,0.99,82.64,37.78,47.27,55.89666666666667
Odisha,Renewable Energy,68,18,30,29.1,1.07,38.02,70.74,58.68,55.81333333333333
Madhya Pradesh,Telecommunication & Networking,45,12,18,22.47,1.48,18.89,58.6,89.87,55.78666666666666
Haryana,Sports,42,12,19,25.83,1.36,15.43,66.48,85.21,55.70666666666666
Andhra Pradesh,Enterprise Software,39,8,25,76.78,1.07,12.86,95.9,57.72,55.49333333333334
Haryana,Waste Management,88,26,35,16.02,1.23,47.35,42.04,77.01,55.46666666666667
Tamil Nadu,Green Technology,201,71,70,-0.71,1.25,73.95,14.15,78.3,55.46666666666667
Goa,Food & Beverages,50,16,22,17.26,2.03,23.55,45.1,97.75,55.46666666666666
Delhi,Green Technology,202,65,76,8.13,1.11,74.36,28.3,63.67,55.44333333333333
Gujarat,Enterprise Software,141,38,66,31.79,0.85,63.99,74.76,27.01,55.25333333333333
Madhya Pradesh,Waste Management,57,15,24,26.49,1.14,30.14,67.93,67.68,55.25
Karnataka,Construction,435,118,196,28.88,0.59,91.8,69.94,3.86,55.199999999999996
Madhya Pradesh,Food & Beverages,263,89,104,8.1,1.04,81.91,28.14,55.14,55.06333333333333
Maharashtra,Education,794,236,328,17.89,0.81,97.11,46.78,21.22,55.03666666666666
Maharashtra,Construction,1096,311,422,16.49,0.82,98.71,43.25,22.51,54.82333333333332
Delhi,Education,468,158,186,8.5,0.96,92.6,28.62,43.09,54.769999999999996
Goa,Travel & Tourism,36,11,16,20.6,4.77,9.57,54.66,100.0,54.743333333333325
West Bengal,Technology Hardware,103,20,48,54.92,0.79,54.02,90.68,19.29,54.663333333333334
Maharashtra,Advertising,169,55,64,7.87,1.13,70.18,27.33,66.08,54.529999999999994
Maharashtra,Biotechnology,89,16,50,76.78,0.8,47.91,95.9,19.61,54.473333333333336
Rajasthan,Education,265,106,98,-3.85,1.15,82.15,10.61,69.77,54.17666666666666
Rajasthan,Healthcare & Lifesciences,358,109,152,18.09,0.85,88.34,47.75,26.21,54.099999999999994
Himachal Pradesh,Agriculture,74,28,30,3.51,2.47,41.64,21.3,99.2,54.04666666666666
Madhya Pradesh,AI,96,11,64,141.21,0.71,51.05,99.68,11.25,53.99333333333333
Odisha,Travel & Tourism,39,8,20,58.11,1.06,12.86,91.8,57.23,53.963333333333324
Gujarat,Human Resources,157,35,84,54.92,0.59,67.77,90.68,3.22,53.88999999999999
Maharashtra,Enterprise Software,250,75,105,18.32,0.88,80.71,48.55,32.15,53.80333333333333
Telangana,Construction,295,81,136,29.58,0.64,84.08,72.03,5.14,53.74999999999999
Karnataka,Green Technology,218,71,77,4.14,1.1,76.53,22.51,62.06,53.7
Uttar Pradesh,Travel & Tourism,180,49,79,26.97,0.81,71.7,68.65,20.74,53.696666666666665
Rajasthan,House-Hold Services,40,9,20,49.07,1.08,13.67,87.54,59.65,53.62
Madhya Pradesh,Technology Hardware,103,20,51,59.69,0.74,54.02,92.77,13.67,53.486666666666665
Karnataka,Indic Language Startups,38,7,15,46.39,1.1,11.82,86.41,62.22,53.483333333333334
Delhi,Marketing,180,62,65,2.39,1.16,71.7,18.17,70.58,53.48333333333333
Rajasthan,Retail,90,27,43,26.2,0.96,48.63,67.36,44.05,53.346666666666664
Telangana,Real Estate,96,29,40,17.44,1.1,51.05,45.82,62.7,53.19
Chhattisgarh,Professional & Commercial Services,72,21,31,21.5,1.1,40.59,56.59,62.38,53.18666666666667
Uttar Pradesh,Finance Technology,283,74,106,19.68,0.84,83.28,51.61,24.6,53.16333333333333
Rajasthan,Other Specialty Retailers,62,17,27,26.03,1.07,33.44,66.96,58.84,53.08
Haryana,Renewable Energy,168,49,73,22.06,0.88,69.77,57.56,31.67,52.99999999999999
Rajasthan,Enterprise Software,60,12,30,58.11,0.9,32.15,91.8,34.89,52.94666666666666
