state,industry,lq,count
Chhattisgarh,Education,1.1793480478672937,78
Telangana,Media & Entertainment,1.1786538631628785,107
Uttar Pradesh,Safety,1.1782091045579575,35
Jharkhand,Agriculture,1.177609226755362,82
Kerala,Media & Entertainment,1.1759289870404654,66
Assam,Healthcare & Lifesciences,1.1736288398737658,132
Punjab,Renewable Energy,1.1720640089826697,53
Delhi,Social Impact,1.1708050920520812,78
Madhya Pradesh,Real Estate,1.168860158720099,63
Gujarat,House-Hold Services,1.1640413297565857,106
Uttar Pradesh,Professional & Commercial Services,1.16356920023693,690
Tamil Nadu,Transportation & Storage,1.1634542024527084,124
Delhi,Marketing,1.163118647127176,180
Telangana,Healthcare & Lifesciences,1.1621720282435826,715
Karnataka,Design,1.1620580089740011,63
Haryana,Marketing,1.1577061596532001,109
Tamil Nadu,Waste Management,1.1568902859367554,120
Rajasthan,Education,1.1544605704540163,265
Gujarat,Agriculture,1.1533240044159538,805
Uttar Pradesh,Education,1.1503468229615101,690
Tamil Nadu,AI,1.1481857745989983,320
Haryana,Telecommunication & Networking,1.147750364755482,50
Kerala,AI,1.146505042132891,154
Gujarat,Transportation & Storage,1.1444298539920486,160
Tamil Nadu,Renewable Energy,1.1437255319571722,317
Gujarat,Toys and Games,1.1435561303716353,53
Tamil Nadu,Design,1.1430256587641574,50
Maharashtra,Automotive,1.1428937987534897,483
Rajasthan,Waste Management,1.141182292290506,63
Telangana,Education,1.1391656182386931,383
Madhya Pradesh,Waste Management,1.1388320164197139,57
Maharashtra,Architecture Interior Design,1.1378171874318508,167
Chhattisgarh,Food & Beverages,1.136341519157187,91
Odisha,IT Services,1.1345073086764834,240
Haryana,Logistics,1.1318958470050462,54
Karnataka,Retail,1.131551620954945,246
Delhi,Textiles & Apparel,1.1309545760480104,239
Maharashtra,Marketing,1.128875447648066,348
Karnataka,Education,1.1281017684520336,603
Uttarakhand,Education,1.1274381152342263,55
Maharashtra,Advertising,1.1272964656620317,169
Karnataka,Events,1.1270519808394783,61
Punjab,Fashion,1.1256071358267028,34
Maharashtra,Non-Renewable Energy,1.1249574965870395,129
Punjab,Education,1.1227154062645333,79
Haryana,Aeronautics Aerospace & Defence,1.1221752238208016,79
Gujarat,Green Technology,1.1220189728412233,236
Odisha,Marketing,1.121021205738535,35
Uttar Pradesh,Security Solutions,1.1205160262125766,145
West Bengal,Real Estate,1.1192174492763884,56
Punjab,Agriculture,1.1173738500356076,97
Uttarakhand,Food & Beverages,1.1173623971011624,66
Uttar Pradesh,Other Specialty Retailers,1.1171536726241922,169
Delhi,Healthcare & Lifesciences,1.113560241150314,998
Jharkhand,Professional & Commercial Services,1.1111131264534082,62
Delhi,Green Technology,1.1093668592832058,202
Rajasthan,Agriculture,1.1087842718945327,314
West Bengal,Other Specialty Retailers,1.1082768809735857,54
Delhi,Social Network,1.1076381692860007,38
Andhra Pradesh,Other Specialty Retailers,1.1056667025472744,35
West Bengal,Agriculture,1.1034379955193814,263
Telangana,Real Estate,1.102497886729884,96
Karnataka,Technology Hardware,1.1019169749730986,395
Chhattisgarh,Professional & Commercial Services,1.101141943897314,72
Karnataka,Indic Language Startups,1.1001377409459319,38
Karnataka,Green Technology,1.096994339313859,218
Uttarakhand,Agriculture,1.0966249866518005,66
West Bengal,Chemicals,1.0960927728533363,51
Tamil Nadu,Agriculture,1.0956766772548343,583
Madhya Pradesh,Advertising,1.0944625106485109,35
West Bengal,Food & Beverages,1.0943797939175441,256
Haryana,Events,1.0937657244835661,33
Tamil Nadu,Textiles & Apparel,1.0908526479561018,203
Telangana,Internet of Things,1.0902387956448008,47
Maharashtra,Pets & Animals,1.0878077373974209,63
Telangana,Architecture Interior Design,1.0873882588431196,55
Maharashtra,Food & Beverages,1.0869442769904658,1284
Delhi,Architecture Interior Design,1.085752243316011,80
Uttar Pradesh,Textiles & Apparel,1.0857413909163243,281
Haryana,Green Technology,1.083241767612291,120
Rajasthan,House-Hold Services,1.0826410359897218,40
Jammu and Kashmir,Education,1.079989054823529,50
Uttarakhand,Construction,1.0783170196559917,72
Tamil Nadu,Technology Hardware,1.071796138703589,310
Delhi,Toys and Games,1.071730753424326,43
Rajasthan,Other Specialty Retailers,1.0709555022791402,62
Odisha,Renewable Energy,1.0708852726145652,68
Maharashtra,Analytics,1.0703171882240041,82
Maharashtra,Social Impact,1.070024236010209,142
Maharashtra,Healthcare & Lifesciences,1.0698719778524803,1910
Maharashtra,Green Technology,1.0669647059326894,387
Delhi,Transportation & Storage,1.0658461645242616,129
Andhra Pradesh,Enterprise Software,1.0657513351753358,39
Haryana,Finance Technology,1.0647292924221412,178
Maharashtra,Real Estate,1.0646157365928335,269
Odisha,Travel & Tourism,1.064567216642854,39
Delhi,Finance Technology,1.0626291340228995,292
Rajasthan,Marketing,1.061618738900657,77
West Bengal,Green Technology,1.05812877528206,76
Odisha,Textiles & Apparel,1.055489811130841,45
Gujarat,Healthcare & Lifesciences,1.052868305693526,1090
Haryana,Healthcare & Lifesciences,1.052726123786515,574
Uttarakhand,Renewable Energy,1.0526326409217732,33
Maharashtra,Renewable Energy,1.0494963361888257,658
Punjab,Retail,1.048267549223882,30
Uttar Pradesh,Social Network,1.0472245295994906,44
Rajasthan,Travel & Tourism,1.045756456321225,89
Punjab,Food & Beverages,1.044606419622073,89
Madhya Pradesh,Food & Beverages,1.0437089552850773,263
Assam,Education,1.0412632336991126,64
Kerala,Food & Beverages,1.040984188878262,262
Kerala,Waste Management,1.040177215702418,52
Haryana,Fashion,1.039786553281367,133
Uttar Pradesh,Events,1.0372976639123324,63
Odisha,Food & Beverages,1.036437079143019,124
Maharashtra,Technology Hardware,1.0362693839648336,678
Odisha,Construction,1.0351734851503795,140
Delhi,Pets & Animals,1.0318523998085374,30
Maharashtra,Internet of Things,1.0312110385381195,129
West Bengal,Education,1.0300565878924088,199
Punjab,IT Services,1.0288905578996665,155
Rajasthan,Construction,1.0280629146184062,323
Haryana,Security Solutions,1.0266951847746681,66
Gujarat,Logistics,1.0266908742437537,93
Tamil Nadu,Non-Renewable Energy,1.0257871828262697,52
Maharashtra,Social Network,1.0243010709956881,70
Haryana,Human Resources,1.0231092084478888,144
Maharashtra,Robotics,1.020919882994343,87
Maharashtra,Fashion,1.0195660561673003,427
Uttar Pradesh,Technology Hardware,1.0192585735795843,410
Maharashtra,House-Hold Services,1.0189043319493463,160
Haryana,Education,1.0168803486059206,303
Madhya Pradesh,Retail,1.0160388535647487,86
Chhattisgarh,Technology Hardware,1.0145669560852053,45
Delhi,Technology Hardware,1.0138458708285705,333
Uttar Pradesh,Waste Management,1.0120775850395898,146
Uttar Pradesh,Pets & Animals,1.0110476822133263,36
Madhya Pradesh,Professional & Commercial Services,1.0109515045790287,208
Gujarat,Architecture Interior Design,1.0104238272612152,86
West Bengal,Healthcare & Lifesciences,1.0098398519012108,357
Punjab,Healthcare & Lifesciences,1.0096299496247816,130
Assam,Food & Beverages,1.0077711381621803,75
Odisha,Human Resources,1.0070042348876316,47
Uttar Pradesh,IT Services,1.0060906499970648,1292
West Bengal,Logistics,1.0022018083458761,31
Maharashtra,Events,1.002167932275681,99
Telangana,Retail,1.0018828859379563,137
Delhi,Waste Management,1.0017748968522002,118
Haryana,Enterprise Software,1.0014472467070696,87
Andhra Pradesh,Transportation & Storage,0.9994689280776882,31
West Bengal,Marketing,0.9992691103802216,61
Telangana,Events,0.9987347376333424,34
Uttar Pradesh,Architecture Interior Design,0.9973694723073965,90
Chhattisgarh,Finance Technology,0.9971054449909539,37
Kerala,Healthcare & Lifesciences,0.9964103745574641,379
Uttar Pradesh,Renewable Energy,0.9961937222476692,384
Andhra Pradesh,Food & Beverages,0.9935888755522276,151
Rajasthan,Food & Beverages,0.9930300837322171,276
Tamil Nadu,Education,0.9877323626826716,426
Rajasthan,Professional & Commercial Services,0.987062535883304,224
Jharkhand,AI,0.9870477644038989,36
Telangana,Non-Renewable Energy,0.9869086196552549,39
Haryana,Travel & Tourism,0.9866452769597036,109
Delhi,Design,0.9864140834290087,49
Maharashtra,Indic Language Startups,0.9834365663260439,62
Jammu and Kashmir,Professional & Commercial Services,0.9831624499083162,45
Maharashtra,Telecommunication & Networking,0.9815228360121095,140
Maharashtra,Professional & Commercial Services,0.9787180039488053,944
Delhi,Aeronautics Aerospace & Defence,0.9765437284620162,113
Gujarat,Construction,0.9749944969300984,755
Karnataka,Food & Beverages,0.9749456817575527,631
Tamil Nadu,Food & Beverages,0.9746923548562874,509
Odisha,Healthcare & Lifesciences,0.9733972461559971,176
Uttar Pradesh,Healthcare & Lifesciences,0.9721211854732875,1067
Haryana,Professional & Commercial Services,0.9708601575704189,286
Delhi,Real Estate,0.9696844752621161,123
Tamil Nadu,Marketing,0.9686084100934788,132
Maharashtra,Other Specialty Retailers,0.9672653422274011,238
Rajasthan,Retail,0.964015542992933,90
Delhi,Automotive,0.9615539199468753,204
Madhya Pradesh,Media & Entertainment,0.9609742259685524,54
Rajasthan,Green Technology,0.9608686147199839,82
Uttar Pradesh,Fashion,0.9592724892153086,247
Haryana,Media & Entertainment,0.9570450089231203,77
Delhi,Education,0.9555485249244597,468
Madhya Pradesh,House-Hold Services,0.9553110675514564,32
Assam,Professional & Commercial Services,0.9544912975575198,58
Karnataka,Travel & Tourism,0.9536743220948574,189
Jharkhand,IT Services,0.9516908684622608,115
Uttarakhand,AI,0.9516642988433784,30
Delhi,Food & Beverages,0.9510560009441346,564
Tamil Nadu,Finance Technology,0.9504942509457209,230
Maharashtra,Waste Management,0.9504040332221628,223
West Bengal,Construction,0.9492173533065726,251
Uttar Pradesh,Food & Beverages,0.945924636146497,687
Telangana,Sports,0.9456013584253402,33
Uttar Pradesh,AR VR (Augmented + Virtual Reality),0.945156754205834,35
Madhya Pradesh,IT Services,0.94488848606652,421
Telangana,Green Technology,0.9440326766761277,118
Uttar Pradesh,Social Impact,0.9437425545736058,77
Tamil Nadu,Retail,0.9406367118453662,165
Rajasthan,Chemicals,0.9406015817609296,52
Haryana,Food & Beverages,0.9396086737305435,339
West Bengal,Media & Entertainment,0.939330662320612,49
Andhra Pradesh,Automotive,0.9380293737675094,51
Karnataka,Automotive,0.9371892182354492,217
Jharkhand,Food & Beverages,0.936490198099044,64
Haryana,Technology Hardware,0.9358142250702842,187
Uttar Pradesh,Retail,0.9345937012397303,228
Uttar Pradesh,House-Hold Services,0.9322094014084938,90
Telangana,Marketing,0.9318969909119295,99
Andhra Pradesh,Healthcare & Lifesciences,0.931750716341217,214
Uttar Pradesh,Sports,0.9315662649296717,58
Odisha,Education,0.9310842730120272,92
Karnataka,Marketing,0.9295553189558834,157
Rajasthan,IT Services,0.9258476315756594,455
Maharashtra,Others,0.9239872884229701,37
Telangana,House-Hold Services,0.9239518973022771,50
Karnataka,Art & Photography,0.92359209113032,35
Gujarat,Art & Photography,0.9224741178058813,37
Haryana,IT Services,0.9185858151781133,586
Uttar Pradesh,Aeronautics Aerospace & Defence,0.9173380701265523,130
Gujarat,Food & Beverages,0.9152903981527892,627
Tamil Nadu,Healthcare & Lifesciences,0.914835825980865,722
West Bengal,Security Solutions,0.9117210202115863,38
West Bengal,IT Services,0.9114739279517858,377
Bihar,Media & Entertainment,0.9097370726196184,37
Telangana,Advertising,0.9097356837830788,47
Karnataka,Healthcare & Lifesciences,0.9078627881681519,888
Tamil Nadu,Telecommunication & Networking,0.9039715221493058,57
Kerala,Technology Hardware,0.9038869245122739,126
Jharkhand,Education,0.903594014309709,51
Punjab,Human Resources,0.902601645615393,30
Kerala,Logistics,0.9014247627929608,30
Madhya Pradesh,Healthcare & Lifesciences,0.9006871572477522,343
Uttar Pradesh,Marketing,0.8969603550380646,170
Rajasthan,Enterprise Software,0.8965325856494294,60
Gujarat,Finance Technology,0.8947085482611506,284
Madhya Pradesh,Travel & Tourism,0.8942521159414588,69
Andhra Pradesh,Human Resources,0.8939594613434548,53
Uttarakhand,Professional & Commercial Services,0.8915832451507446,43
Telangana,Technology Hardware,0.8914663654957615,201
Madhya Pradesh,Finance Technology,0.8906947279611788,104
Odisha,Professional & Commercial Services,0.8906023480984608,87
Punjab,Technology Hardware,0.8900464886834641,42
Haryana,Internet of Things,0.8899012616469225,34
Delhi,IT Services,0.8888279405781639,932
Delhi,AI,0.8878624979979847,281
Karnataka,Security Solutions,0.8845074662496027,102
Delhi,Analytics,0.8840204145227931,34
Uttar Pradesh,Media & Entertainment,0.8829378924968068,143
Telangana,Design,0.879762893518255,30
Telangana,Food & Beverages,0.879409624578429,358
Maharashtra,Enterprise Software,0.8789087142051426,250
Madhya Pradesh,Green Technology,0.8788796448909469,68
Tamil Nadu,Architecture Interior Design,0.8784931816152216,57
Haryana,Renewable Energy,0.877342923317128,168
Karnataka,Advertising,0.8765823896139423,72
Madhya Pradesh,Other Specialty Retailers,0.8764111748253883,46
Karnataka,Fashion,0.8759762974836284,201
Kerala,Aeronautics Aerospace & Defence,0.8755834881859743,43
Karnataka,Other Specialty Retailers,0.8753051456030724,118
Jammu and Kashmir,Food & Beverages,0.8741088608901438,49
Goa,IT Services,0.8726783705065868,38
Uttar Pradesh,AI,0.8720249402583589,338
Odisha,Green Technology,0.8711001068992246,32
Madhya Pradesh,Textiles & Apparel,0.868637429273461,78
Rajasthan,Security Solutions,0.8683044959833447,43
Maharashtra,Art & Photography,0.8674702850059178,60
Bihar,Retail,0.8651350814795314,53
Maharashtra,Security Solutions,0.8646969261282783,182
Odisha,Automotive,0.8644491859577466,37
Haryana,Chemicals,0.8639488801970703,62
Haryana,Social Impact,0.8635318829095485,35
Rajasthan,AI,0.8629302619668208,128
Maharashtra,IT Services,0.8622451675745134,1801
Punjab,Construction,0.8617962965395545,83
Bihar,Marketing,0.8614463478555038,41
Bihar,Professional & Commercial Services,0.859553962295398,128
Maharashtra,Retail,0.8593792013078503,341
Maharashtra,Human Resources,0.8593095232582859,396
Madhya Pradesh,Enterprise Software,0.8570151716392028,52
Andhra Pradesh,Technology Hardware,0.8553876713745314,72
Gujarat,Analytics,0.8553253684681933,38
Rajasthan,Media & Entertainment,0.8551130054518694,53
Gujarat,Enterprise Software,0.8548147030052518,141
Telangana,Logistics,0.8545380534922373,46
Telangana,Telecommunication & Networking,0.8544518497140176,42
Kerala,Green Technology,0.8540506146753746,66
Tamil Nadu,Professional & Commercial Services,0.8536787826197005,364
Rajasthan,Healthcare & Lifesciences,0.8523000992891374,358
Uttar Pradesh,Non-Renewable Energy,0.8510502375533051,60
Telangana,Agriculture,0.8510341318135026,353
Rajasthan,Advertising,0.8505184959886143,30
Tamil Nadu,Media & Entertainment,0.8501181538964279,99
Odisha,AI,0.8457215998478297,54
Karnataka,Telecommunication & Networking,0.8445495064667969,66
Maharashtra,AI,0.8438520214281539,532
Andhra Pradesh,Renewable Energy,0.8430463695266012,68
Karnataka,Logistics,0.8412962340998216,72
Uttar Pradesh,Finance Technology,0.840926650235372,283
Gujarat,Marketing,0.839087307400571,150
Madhya Pradesh,Chemicals,0.8379574940683528,42
Uttar Pradesh,Agriculture,0.8378293581412177,620
West Bengal,Renewable Energy,0.837672419620163,104
Tamil Nadu,Chemicals,0.8375641256741417,87
Maharashtra,Textiles & Apparel,0.8361904340581153,352
Chhattisgarh,Healthcare & Lifesciences,0.8345359412991652,101
Madhya Pradesh,Automotive,0.83195802213409,75
Maharashtra,Aeronautics Aerospace & Defence,0.8286323595872513,191
Telangana,Other Specialty Retailers,0.8255295835614025,70
Telangana,Finance Technology,0.8216971241455772,155
Odisha,Retail,0.8211517062742688,33
Maharashtra,Construction,0.8207608978298039,1096
Jharkhand,Technology Hardware,0.8190033401741169,31
Maharashtra,Travel & Tourism,0.8183162810552929,296
Gujarat,Biotechnology,0.8182779421770368,53
Tamil Nadu,Other Specialty Retailers,0.8182126645695494,89
Haryana,Construction,0.8140465684936379,332
Andhra Pradesh,Professional & Commercial Services,0.8139439014556161,101
Uttarakhand,IT Services,0.8138490141815947,85
Maharashtra,Education,0.8138468109203529,794
Punjab,AI,0.8137234170816986,37
Kerala,Automotive,0.8107411022394744,73
Uttar Pradesh,Travel & Tourism,0.8093931582220134,180
Andhra Pradesh,Marketing,0.8068713192854767,32
Telangana,Transportation & Storage,0.8064191281560835,67
Karnataka,Human Resources,0.8000453634950468,202
Uttar Pradesh,Indic Language Startups,0.7997861878109209,31
Bihar,Healthcare & Lifesciences,0.798176101069646,220
Madhya Pradesh,Transportation & Storage,0.7972331487508497,41
Maharashtra,Biotechnology,0.7968303590812383,89
Delhi,Internet of Things,0.7961824072596739,50
West Bengal,Technology Hardware,0.7949980112347336,103
Uttar Pradesh,Enterprise Software,0.7948333937637891,139
Andhra Pradesh,Green Technology,0.7929180957696623,37
Telangana,Waste Management,0.7914970724196206,64
Telangana,Renewable Energy,0.7914383211523686,171
Madhya Pradesh,Marketing,0.7907724530583948,52
Punjab,Professional & Commercial Services,0.7906216450342415,55
Telangana,Chemicals,0.790382287810579,64
Uttar Pradesh,Design,0.7890004209022614,48
Tamil Nadu,Social Impact,0.7840984992839014,46
Uttar Pradesh,Robotics,0.7825530873657623,41
Andhra Pradesh,Finance Technology,0.7810239356350739,55
Odisha,Fashion,0.7780014980820611,33
Chhattisgarh,IT Services,0.7768460603302599,110
Uttar Pradesh,Chemicals,0.7752947797879968,112
Rajasthan,Real Estate,0.773765746317867,46
Gujarat,Retail,0.773569914807709,178
Madhya Pradesh,Fashion,0.7723568255424846,69
Gujarat,IT Services,0.7719297452785083,935
Telangana,Social Impact,0.7653132735385321,35
West Bengal,Automotive,0.7647589417362323,64
Karnataka,Transportation & Storage,0.7646281185084781,101
West Bengal,Enterprise Software,0.7634103812114283,43
Delhi,Chemicals,0.762989450562651,90
Karnataka,Waste Management,0.7623217090683543,98
Telangana,Automotive,0.7621626382922833,111
Karnataka,Media & Entertainment,0.7621458067152209,110
Uttar Pradesh,Automotive,0.7620465106737093,198
Madhya Pradesh,Education,0.7592077896603655,158
Bihar,Finance Technology,0.7573065366112266,64
Uttar Pradesh,Biotechnology,0.7572455891474297,52
Odisha,Technology Hardware,0.7545568705437138,50
Chhattisgarh,AI,0.748737986699031,32
Telangana,Fashion,0.7483024722110232,108
Kerala,Professional & Commercial Services,0.7445221097942067,153
Delhi,Renewable Energy,0.7434565984368718,234
Kerala,Construction,0.7381183187776809,210
Madhya Pradesh,Technology Hardware,0.738008906486724,103
Tamil Nadu,Sports,0.7371394885637872,33
Karnataka,Professional & Commercial Services,0.7361121545081112,389
Uttar Pradesh,Green Technology,0.7354285401338825,164
Gujarat,Travel & Tourism,0.7341745247570559,154
Bihar,Travel & Tourism,0.734160359585912,41
Kerala,Finance Technology,0.7288424321494072,85
Kerala,Fashion,0.7284528308307134,65
Bihar,Fashion,0.7268803776062268,47
Tamil Nadu,Construction,0.7267263656770123,429
Bihar,Textiles & Apparel,0.723165973160912,47
Telangana,Human Resources,0.7178359781798503,114
Gujarat,Internet of Things,0.7168202997507735,52
Jammu and Kashmir,IT Services,0.7163126010837462,71
Telangana,Professional & Commercial Services,0.7160254706758857,238
Madhya Pradesh,AI,0.7138505536270331,96
Bihar,Renewable Energy,0.7128230222130908,69
Uttar Pradesh,Toys and Games,0.7122920466478748,35
Madhya Pradesh,Aeronautics Aerospace & Defence,0.7118327599767055,35
West Bengal,Waste Management,0.7102368336500918,33
Karnataka,House-Hold Services,0.709009517978049,61
Uttar Pradesh,Logistics,0.708066585354201,68
Tamil Nadu,Fashion,0.7075649471060179,131
